meal_type,name,calories,protein,fat,carbs,cost,ingredients,recipe
breakfast,Tofu Scramble 2,280,18,12,10,3,Tofu;Tomato;Spinach;Spices,"1. Crumble tofu. 2. Sauté with tomato, spinach & spices. 3. Cook 5-7 min. 4. Serve hot."
breakfast,Avocado Toast 1,320,10,18,35,3,Bread;Avocado;Lemon;Chili flakes,1. Toast bread. 2. Mash avocado with lemon. 3. Spread on toast. 4. Sprinkle chili flakes. 5. Serve.
breakfast,Avocado Toast 2,320,10,18,35,3,Bread;Avocado;Lemon;Chili flakes,1. Toast bread. 2. Mash avocado with lemon. 3. Spread on toast. 4. Sprinkle chili flakes. 5. Serve.
breakfast,Greek Yogurt Parfait 1,280,15,5,40,3.5,Greek yogurt;Granola;Berries;Honey,"1. Layer yogurt, granola, berries. 2. Drizzle honey. 3. Serve chilled."
breakfast,Greek Yogurt Parfait 2,280,15,5,40,3.5,Greek yogurt;Granola;Berries;Honey,"1. Layer yogurt, granola, berries. 2. Drizzle honey. 3. Serve chilled."
breakfast,Peanut Butter Banana Toast 1,330,12,15,40,3,Bread;Peanut butter;Banana;Honey,1. Toast bread. 2. Spread peanut butter. 3. Top with banana slices & honey.
breakfast,Peanut Butter Banana Toast 2,330,12,15,40,3,Bread;Peanut butter;Banana;Honey,1. Toast bread. 2. Spread peanut butter. 3. Top with banana slices & honey.
breakfast,Quinoa Porridge 1,310,12,7,55,3.5,Quinoa;Almond milk;Cinnamon;Honey,1. Boil almond milk. 2. Add quinoa & cook 10 min. 3. Add cinnamon & honey. 4. Serve.
breakfast,Quinoa Porridge 2,310,12,7,55,3.5,Quinoa;Almond milk;Cinnamon;Honey,1. Boil almond milk. 2. Add quinoa & cook 10 min. 3. Add cinnamon & honey. 4. Serve.
lunch,Chicken Salad 1,400,30,10,20,5,Chicken;Lettuce;Tomato;Cucumber;Olive oil,1. Grill chicken. 2. Chop veggies. 3. Mix all ingredients. 4. Serve with dressing.
lunch,Chicken Salad 2,400,30,10,20,5,Chicken;Lettuce;Tomato;Cucumber;Olive oil,1. Grill chicken. 2. Chop veggies. 3. Mix all ingredients. 4. Serve with dressing.
lunch,Paneer Curry 1,450,25,15,30,4,Paneer;Tomato;Onion;Spices,1. Sauté onion & spices. 2. Add paneer & tomato. 3. Cook 10 min. 4. Serve hot with rice.
lunch,Paneer Curry 2,450,25,15,30,4,Paneer;Tomato;Onion;Spices,1. Sauté onion & spices. 2. Add paneer & tomato. 3. Cook 10 min. 4. Serve hot with rice.
lunch,Curd Rice 1,350,12,7,50,2.5,Rice;Curd;Coriander,1. Cook rice. 2. Mix with curd & coriander. 3. Serve chilled or warm.
lunch,Curd Rice 2,350,12,7,50,2.5,Rice;Curd;Coriander,1. Cook rice. 2. Mix with curd & coriander. 3. Serve chilled or warm.
lunch,Grilled Fish with Veggies 1,380,32,8,10,5,Fish;Lemon;Spices;Broccoli;Carrots,1. Marinate fish. 2. Grill 10 min. 3. Steam veggies. 4. Serve together.
lunch,Grilled Fish with Veggies 2,380,32,8,10,5,Fish;Lemon;Spices;Broccoli;Carrots,1. Marinate fish. 2. Grill 10 min. 3. Steam veggies. 4. Serve together.
lunch,Veggie Sandwich 1,300,10,5,40,3,Bread;Lettuce;Tomato;Cheese;Cucumber,1. Toast bread. 2. Layer veggies & cheese. 3. Serve.
lunch,Veggie Sandwich 2,300,10,5,40,3,Bread;Lettuce;Tomato;Cheese;Cucumber,1. Toast bread. 2. Layer veggies & cheese. 3. Serve.
lunch,Chickpea Salad 1,370,18,10,35,3,Chickpeas;Tomato;Cucumber;Lemon,1. Mix chickpeas & chopped veggies. 2. Add lemon juice. 3. Serve.
lunch,Chickpea Salad 2,370,18,10,35,3,Chickpeas;Tomato;Cucumber;Lemon,1. Mix chickpeas & chopped veggies. 2. Add lemon juice. 3. Serve.
lunch,Grilled Tofu Wrap 1,360,20,12,40,4,Tortilla;Tofu;Spinach;Tomato;Hummus,1. Grill tofu. 2. Spread hummus on tortilla. 3. Add tofu & veggies. 4. Roll and serve.
lunch,Grilled Tofu Wrap 2,360,20,12,40,4,Tortilla;Tofu;Spinach;Tomato;Hummus,1. Grill tofu. 2. Spread hummus on tortilla. 3. Add tofu & veggies. 4. Roll and serve.
lunch,Lentil Bowl 1,380,18,8,45,3.5,Lentils;Rice;Spinach;Spices,1. Cook lentils & rice. 2. Mix with sautéed spinach & spices. 3. Serve.
lunch,Lentil Bowl 2,380,18,8,45,3.5,Lentils;Rice;Spinach;Spices,1. Cook lentils & rice. 2. Mix with sautéed spinach & spices. 3. Serve.
lunch,Quinoa Salad 1,350,15,7,40,4,Quinoa;Cucumber;Tomato;Feta;Olive oil,1. Cook quinoa. 2. Mix with veggies & feta. 3. Drizzle olive oil. 4. Serve.
lunch,Quinoa Salad 2,350,15,7,40,4,Quinoa;Cucumber;Tomato;Feta;Olive oil,1. Cook quinoa. 2. Mix with veggies & feta. 3. Drizzle olive oil. 4. Serve.
dinner,Grilled Chicken with Veggies 1,450,35,12,15,5,Chicken;Broccoli;Carrots;Olive oil;Spices,1. Grill chicken. 2. Steam veggies. 3. Serve together.
dinner,Grilled Chicken with Veggies 2,450,35,12,15,5,Chicken;Broccoli;Carrots;Olive oil;Spices,1. Grill chicken. 2. Steam veggies. 3. Serve together.
dinner,Paneer Stir Fry 1,420,25,15,20,4,Paneer;Bell pepper;Onion;Soy sauce,1. Sauté paneer & vegetables. 2. Add soy sauce. 3. Cook 5-7 min. 4. Serve hot.
dinner,Paneer Stir Fry 2,420,25,15,20,4,Paneer;Bell pepper;Onion;Soy sauce,1. Sauté paneer & vegetables. 2. Add soy sauce. 3. Cook 5-7 min. 4. Serve hot.
dinner,Salmon with Quinoa 1,430,32,12,20,6,Salmon;Quinoa;Spinach;Lemon,1. Grill salmon. 2. Cook quinoa. 3. Sauté spinach. 4. Serve together.
dinner,Salmon with Quinoa 2,430,32,12,20,6,Salmon;Quinoa;Spinach;Lemon,1. Grill salmon. 2. Cook quinoa. 3. Sauté spinach. 4. Serve together.
dinner,Mushroom Risotto 1,400,18,12,55,4,Rice;Mushroom;Onion;Parmesan,1. Sauté mushroom & onion. 2. Cook rice in broth. 3. Add parmesan. 4. Serve hot.
dinner,Mushroom Risotto 2,400,18,12,55,4,Rice;Mushroom;Onion;Parmesan,1. Sauté mushroom & onion. 2. Cook rice in broth. 3. Add parmesan. 4. Serve hot.
dinner,Vegetable Stir Fry 1,380,15,10,50,3.5,Broccoli;Carrot;Bell pepper;Soy sauce,1. Sauté vegetables. 2. Add soy sauce. 3. Cook 5 min. 4. Serve hot.
dinner,Vegetable Stir Fry 2,380,15,10,50,3.5,Broccoli;Carrot;Bell pepper;Soy sauce,1. Sauté vegetables. 2. Add soy sauce. 3. Cook 5 min. 4. Serve hot.
dinner,Lentil Soup 1,350,18,8,40,3,Lentils;Carrot;Celery;Onion;Spices,1. Cook lentils & vegetables. 2. Simmer 15 min. 3. Serve hot.
dinner,Lentil Soup 2,350,18,8,40,3,Lentils;Carrot;Celery;Onion;Spices,1. Cook lentils & vegetables. 2. Simmer 15 min. 3. Serve hot.
breakfast,Almond Butter Toast,320,12,16,34,3,Bread;Almond butter;Banana slices,1. Toast bread. 2. Spread almond butter. 3. Top with banana slices. 4. Serve.
breakfast,Mango Smoothie,280,8,5,55,3,Mango;Yogurt;Honey;Almond milk,1. Blend all ingredients until smooth. 2. Serve chilled.
breakfast,Spinach Feta Omelette,310,20,14,8,3,Eggs;Spinach;Feta cheese;Onion,1. Beat eggs. 2. Add spinach & feta. 3. Cook in pan. 4. Serve hot.
breakfast,Blueberry Muffins,340,10,15,50,4,Flour;Blueberries;Egg;Milk;Sugar,1. Mix ingredients. 2. Bake at 180°C for 20 min. 3. Cool and serve.
breakfast,Avocado Smoothie,300,9,10,45,3,Avocado;Banana;Almond milk;Honey,1. Blend all ingredients. 2. Serve chilled.
breakfast,Coconut Chia Pudding,270,8,12,38,3,Chia seeds;Coconut milk;Maple syrup;Berries,1. Mix chia & coconut milk. 2. Refrigerate 4 hrs. 3. Add berries & syrup.
breakfast,Breakfast Burrito,350,18,12,40,4,Tortilla;Egg;Black beans;Cheese;Spinach,1. Scramble eggs. 2. Add beans & spinach. 3. Wrap in tortilla. 4. Serve.
breakfast,Peach Yogurt Bowl,280,12,5,45,3,Yogurt;Peach;Granola;Honey,1. Layer yogurt & peach. 2. Top with granola & honey. 3. Serve.
breakfast,Quinoa Fruit Bowl,300,10,7,50,3,Quinoa;Mixed fruits;Almonds;Honey,1. Cook quinoa. 2. Add fruits & almonds. 3. Drizzle honey. 4. Serve.
breakfast,Sweet Potato Hash,320,12,14,40,3,Sweet potato;Onion;Bell pepper;Olive oil,1. Sauté vegetables & sweet potato. 2. Cook 10 min. 3. Serve hot.
lunch,Turkey Sandwich,360,28,8,35,4,Bread;Turkey;Lettuce;Tomato;Cheese,"1. Layer turkey, lettuce, tomato & cheese on bread. 2. Serve."
lunch,Grilled Veggie Wrap,340,15,10,45,3,Tortilla;Zucchini;Bell pepper;Hummus,1. Grill vegetables. 2. Spread hummus on tortilla. 3. Wrap & serve.
lunch,Beef Stir Fry,420,32,14,25,5,Beef;Broccoli;Soy sauce;Carrot,1. Sauté beef & vegetables. 2. Add soy sauce. 3. Cook 5-7 min. 4. Serve hot.
lunch,Chickpea Buddha Bowl,380,18,12,45,4,Chickpeas;Quinoa;Spinach;Avocado;Carrot,1. Cook quinoa. 2. Mix chickpeas & veggies. 3. Top with avocado. 4. Serve.
lunch,Tofu Veggie Bowl,360,20,10,40,4,Tofu;Broccoli;Carrot;Rice;Soy sauce,1. Sauté tofu & vegetables. 2. Cook rice. 3. Mix together. 4. Serve.
lunch,Grilled Chicken Caesar Salad,400,32,14,20,5,Chicken;Lettuce;Parmesan;Croutons;Caesar dressing,"1. Grill chicken. 2. Toss with lettuce, parmesan & croutons. 3. Add dressing. 4. Serve."
lunch,Caprese Sandwich,350,12,15,35,3,Bread;Tomato;Mozzarella;Basil;Olive oil,"1. Layer tomato, mozzarella & basil on bread. 2. Drizzle olive oil. 3. Serve."
lunch,Avocado Chickpea Salad,370,18,12,40,3.5,Chickpeas;Avocado;Tomato;Cucumber;Lemon,1. Mix all ingredients. 2. Serve chilled.
lunch,Spicy Lentil Soup,380,20,8,50,3,Lentils;Tomato;Onion;Chili;Spices,1. Cook lentils & vegetables. 2. Add spices. 3. Simmer 10 min. 4. Serve hot.
lunch,Vegetable Quinoa Salad,360,15,10,45,3.5,Quinoa;Bell pepper;Cucumber;Olive oil;Feta,1. Cook quinoa. 2. Mix with vegetables & feta. 3. Drizzle olive oil. 4. Serve.
dinner,Salmon with Asparagus,450,35,15,20,6,Salmon;Asparagus;Lemon;Olive oil,1. Grill salmon. 2. Sauté asparagus. 3. Serve together.
dinner,Chicken Fajitas,430,32,12,25,5,Chicken;Bell peppers;Onion;Tortilla;Spices,1. Sauté chicken & peppers. 2. Wrap in tortilla. 3. Serve hot.
dinner,Veggie Pasta,400,18,12,55,4,Pasta;Zucchini;Tomato;Parmesan;Olive oil,1. Cook pasta. 2. Sauté vegetables. 3. Mix & top with parmesan. 4. Serve.
dinner,Beef Chili,450,30,15,35,5,Beef;Kidney beans;Tomato;Onion;Spices,1. Cook beef & onion. 2. Add beans & tomato. 3. Simmer 15 min. 4. Serve hot.
dinner,Stuffed Bell Peppers,420,22,14,40,4,Bell peppers;Quinoa;Tomato;Cheese,1. Cook quinoa. 2. Stuff peppers. 3. Bake 20 min. 4. Serve.
dinner,Mushroom Stir Fry,380,18,12,45,3.5,Mushroom;Broccoli;Carrot;Soy sauce,1. Sauté mushrooms & vegetables. 2. Add soy sauce. 3. Serve hot.
dinner,Tofu Curry,400,20,15,35,4,Tofu;Coconut milk;Spinach;Spices,1. Sauté tofu & spinach. 2. Add coconut milk & spices. 3. Cook 10 min. 4. Serve hot.
dinner,Grilled Shrimp Salad,420,32,10,25,5,Shrimp;Lettuce;Tomato;Cucumber;Olive oil,1. Grill shrimp. 2. Toss with vegetables. 3. Serve with dressing.
dinner,Vegetable Stir Fry Noodles,400,15,12,55,4,Noodles;Broccoli;Carrot;Soy sauce,1. Cook noodles. 2. Sauté vegetables. 3. Mix together. 4. Serve.
dinner,Lentil & Spinach Stew,380,18,10,45,3.5,Lentils;Spinach;Onion;Tomato;Spices,1. Cook lentils & vegetables. 2. Add spices. 3. Simmer 10 min. 4. Serve.
dinner,Grilled Tofu with Veggies,400,20,12,40,4,Tofu;Broccoli;Bell pepper;Soy sauce,1. Grill tofu. 2. Sauté vegetables. 3. Serve together.
dinner,Chicken Curry,450,32,15,25,5,Chicken;Onion;Tomato;Spices;Rice,1. Sauté chicken & onion. 2. Add tomato & spices. 3. Cook 15 min. 4. Serve with rice.
dinner,Quinoa Stuffed Zucchini,380,18,10,40,4,Zucchini;Quinoa;Tomato;Cheese,1. Cook quinoa. 2. Stuff zucchini. 3. Bake 20 min. 4. Serve.
dinner,Turkey Meatballs with Veggies,420,30,14,30,5,Turkey;Carrot;Zucchini;Tomato;Spices,1. Mix turkey & spices. 2. Form meatballs. 3. Bake 15 min. 4. Serve with veggies.
dinner,Spinach & Mushroom Frittata,380,20,12,35,4,Eggs;Spinach;Mushroom;Onion;Cheese,1. Beat eggs. 2. Add spinach & mushroom. 3. Bake 15 min. 4. Serve.
